latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
22.92892,-82.71204,301.3,0.42,0.45,2025-02-15,0735,N,nominal,2.0NRT,290.37,0.66,N
17.8929,-93.18513,327.88,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,286.2,5.14,N
22.8399,-82.29046,304.48,0.45,0.47,2025-02-15,0735,N,nominal,2.0NRT,289.78,0.69,N
17.89051,-93.1943,317.11,0.46,0.39,2025-02-15,0735,N,nominal,2.0NRT,281.6,2.14,N
22.18595,-80.52798,300.52,0.59,0.53,2025-02-15,0735,N,nominal,2.0NRT,289.23,0.71,N
17.94702,-93.65121,311.82,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.83,1.04,N
17.94333,-93.65178,305.63,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.32,1.04,N
21.85614,-79.50297,304.11,0.35,0.57,2025-02-15,0735,N,nominal,2.0NRT,289.68,0.74,N
17.93651,-93.62965,324.62,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.62,2.33,N
20.90637,-77.22651,301.68,0.51,0.66,2025-02-15,0735,N,nominal,2.0NRT,289.42,0.49,N
17.92546,-93.63132,322.81,0.48,0.4,2025-02-15,0735,N,nominal,2.0NRT,289.19,2.5,N
22.29391,-83.84334,299.12,0.56,0.43,2025-02-15,0735,N,nominal,2.0NRT,288.8,0.31,N
17.91055,-93.52322,329.47,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.58,3.02,N
20.9177,-77.35674,313.19,0.5,0.66,2025-02-15,0735,N,nominal,2.0NRT,289.83,1.91,N
21.04972,-78.10982,300.75,0.44,0.63,2025-02-15,0735,N,nominal,2.0NRT,289.09,1.07,N
19.00912,-104.26266,311.35,0.76,0.77,2025-02-15,0735,N,nominal,2.0NRT,290.04,1.95,N
17.86966,-93.49754,307.26,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,288.07,0.75,N
20.55108,-76.03806,306.67,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,290.34,2.35,N
17.87029,-93.49998,304.15,0.47,0.4,2025-02-15,0735,N,nominal,2.0NRT,287.86,0.94,N
20.54969,-76.03222,312.65,0.61,0.71,2025-02-15,0735,N,nominal,2.0NRT,290.54,2.3,N
