latitude,longitude,brightness,acq_date,acq_time
40.8383,-94.36197,1,2025-03-26,1821
40.72714,-94.76369,2,2025-03-26,1821
41.33796,-92.47137,2,2025-03-26,1821
42.07833,-88.61523,1,2025-03-26,1821
41.20215,-91.34441,1,2025-03-26,1821
41.95552,-88.11662,1,2025-03-26,1821
40.54667,-93.75742,1,2025-03-26,1821
40.24274,-93.64316,2,2025-03-26,1821
40.24159,-93.64732,2,2025-03-26,1821
40.51453,-92.71857,1,2025-03-26,1821
40.51354,-92.72233,1,2025-03-26,1821
40.51945,-92.72074,1,2025-03-26,1821
40.73424,-92.03565,2,2025-03-26,1821
42.48814,-83.78291,2,2025-03-26,1821
40.6331,-92.61974,1,2025-03-26,1821
40.18851,-94.19865,1,2025-03-26,1821
40.63075,-92.61945,1,2025-03-26,1821
40.54884,-93.75772,1,2025-03-26,1821
40.63561,-92.62166,1,2025-03-26,1821
40.63544,-92.68446,1,2025-03-26,1821
40.63658,-92.61799,1,2025-03-26,1821
39.39233,-97.0363,1,2025-03-26,1821
41.5134,-89.53436,1,2025-03-26,1821
42.33207,-85.46101,1,2025-03-26,1821
40.64032,-92.68666,1,2025-03-26,1821
40.44009,-93.67041,2,2025-03-26,1821
40.43037,-93.68504,2,2025-03-26,1821
40.43896,-93.67464,2,2025-03-26,1821
40.42751,-93.67422,2,2025-03-26,1821
40.42981,-93.66573,1,2025-03-26,1821
40.42522,-93.68267,2,2025-03-26,1821
40.42636,-93.67845,2,2025-03-26,1821
40.42866,-93.66996,1,2025-03-26,1821
40.43382,-93.67227,1,2025-03-26,1821
47.04208,-119.01672,2,2025-03-26,1826
45.9469,-119.79932,2,2025-03-26,1826
43.83833,-118.27839,2,2025-03-26,1828
43.84336,-118.29903,2,2025-03-26,1828
43.8441,-118.30394,2,2025-03-26,1828
43.9337,-120.42726,2,2025-03-26,1828
43.9351,-120.43259,2,2025-03-26,1828
44.37016,-122.95773,1,2025-03-26,1828
40.46239,-123.64423,2,2025-03-26,1828
39.05154,-120.73631,2,2025-03-26,1828
39.01523,-121.50983,1,2025-03-26,1828
39.00462,-121.69755,2,2025-03-26,1828
35.33323,-81.9552,1,2025-03-26,1841
35.28176,-82.34927,2,2025-03-26,1841
35.27758,-82.35363,2,2025-03-26,1841
35.27821,-82.34854,2,2025-03-26,1841
35.27402,-82.35304,1,2025-03-26,1841
35.27426,-82.29151,1,2025-03-26,1841
35.2853,-82.35002,2,2025-03-26,1841
35.27066,-82.29106,1,2025-03-26,1841
34.09584,-89.75175,2,2025-03-26,1841
34.09224,-89.75074,2,2025-03-26,1841
35.27366,-82.29642,2,2025-03-26,1841
34.18687,-89.5482,1,2025-03-26,1841
34.2766,-89.14,1,2025-03-26,1841
34.19045,-89.54913,1,2025-03-26,1841
34.08864,-89.74974,2,2025-03-26,1841
34.28011,-89.14093,1,2025-03-26,1841
34.27924,-89.14573,1,2025-03-26,1841
34.89651,-85.52013,1,2025-03-26,1841
34.60063,-87.63255,1,2025-03-26,1841
34.83126,-86.56094,1,2025-03-26,1841
34.7781,-86.89303,1,2025-03-26,1841
34.53685,-88.33263,1,2025-03-26,1841
34.54026,-88.3335,1,2025-03-26,1841
35.3291,-88.28526,1,2025-03-26,1841
35.11924,-84.8604,1,2025-03-26,1841
34.18595,-89.55318,1,2025-03-26,1841
33.8215,-91.00398,2,2025-03-26,1841
35.10287,-82.57323,1,2025-03-26,1841
34.09887,-89.35023,1,2025-03-26,1841
35.09173,-82.57598,1,2025-03-26,1841
35.08752,-82.61014,2,2025-03-26,1841
35.08042,-82.66757,2,2025-03-26,1841
35.0798,-82.6726,2,2025-03-26,1841
35.07919,-82.67755,2,2025-03-26,1841
35.07858,-82.68253,2,2025-03-26,1841
35.07796,-82.68748,2,2025-03-26,1841
35.07677,-82.69705,2,2025-03-26,1841
35.07619,-82.70174,2,2025-03-26,1841
35.07559,-82.70657,2,2025-03-26,1841
35.07497,-82.71157,2,2025-03-26,1841
